rank,score,name,displayName,displayNameEn,template,subTemplate,category,DAU_6mo,banner_monthly_yen,interstitial_monthly_yen,rewarded_monthly_yen,total_monthly_yen,total_yearly_yen,targetApp,difficulty,theme,bundleId,description
1,911,"sudoku","数独","Sudoku","game","puzzle","Games",14720,441600,2484000,662400,3588000,43056000,"Sudoku apps ($1-5)",2,"neon-cyber","com.massapp.sudoku","9×9マスの数字パズル"
2,850,"solitaire","ソリティア","Solitaire","game","puzzle","Games",13749,412470,2320144,618705,3351319,40215828,"Solitaire ($0.99-3)",1,"monochrome","com.massapp.solitaire","トランプの一人遊びソリティア"
3,839,"kanji-quiz","漢字クイズ","Kanji Quiz","game","quiz","Education",13566,406980,2289263,610470,3306713,39680556,"漢字検定アプリ (¥500-1000)",2,"ocean-blue","com.massapp.kanjiquiz","読み書きの漢字力をテスト"
4,839,"kanji-kentei-quiz","漢検対策クイズ","Kanji Kentei Quiz","game","quiz","Education",13566,406980,2289263,610470,3306713,39680556,"漢検アプリ (¥500-1000)",2,"midnight-navy","com.massapp.kanjikenteiquiz","漢字検定の級別対策問題"
5,789,"nonogram","お絵かきロジック","Nonogram","game","puzzle","Games",12778,383340,2156288,575010,3114638,37375656,"Nonogram apps ($1-3)",2,"mint-fresh","com.massapp.nonogram","数字のヒントから絵を完成させるパズル"
6,789,"number-puzzle-2048","2048パズル","2048 Puzzle","game","puzzle","Games",12778,383340,2156288,575010,3114638,37375656,"2048 original ($0.99)",2,"monochrome","com.massapp.numberpuzzle2048","数字を合わせて2048を目指すパズル"
7,789,"reversi","リバーシ","Reversi (Othello)","game","puzzle","Games",12778,383340,2156288,575010,3114638,37375656,"Reversi apps ($0.99-3)",2,"neon-cyber","com.massapp.reversi","黒白のリバーシ（オセロ）ゲーム"
8,789,"minesweeper","マインスイーパー","Minesweeper","game","puzzle","Games",12778,383340,2156288,575010,3114638,37375656,"Minesweeper ($0.99-3)",2,"mint-fresh","com.massapp.minesweeper","地雷を避けてマスを開けるゲーム"
9,783,"toeic-quiz","TOEIC対策クイズ","TOEIC Quiz","game","quiz","Education",12672,380160,2138400,570240,3088800,37065600,"スタディサプリ (¥3,278/mo)",2,"mint-fresh","com.massapp.toeicquiz","TOEIC頻出問題のミニテスト"
10,783,"driving-test-quiz","運転免許クイズ","Driving Test Quiz","game","quiz","Education",12672,380160,2138400,570240,3088800,37065600,"Driving test apps (¥300-500)",2,"ocean-blue","com.massapp.drivingtestquiz","運転免許学科試験の模擬問題"
11,727,"todofuken-quiz","都道府県クイズ","Prefecture Quiz","game","quiz","Education",11777,353310,1987369,529965,2870644,34447728,"Prefecture quiz (¥100-300)",1,"sakura-pink","com.massapp.todofukenquiz","47都道府県の県庁所在地・特産品をクイズ"
